name,url,description,test_type,category,duration
Critical Thinking Skills Test,https://www.shl.com/solutions/products/product-catalog/critical-thinking/,"Measures critical thinking, logical analysis, and decision-making abilities.",C,General Aptitude,25 minutes
Teamwork and Collaboration Assessment,https://www.shl.com/solutions/products/product-catalog/teamwork/,"Evaluates interpersonal skills, teamwork abilities, and collaborative problem-solving.",P,Interpersonal Skills,20 minutes
C++ Programming Assessment,https://www.shl.com/solutions/products/product-catalog/verify-cpp/,"Technical test of C++ programming knowledge including memory management, OOP, and algorithms.",K,Technical Skills,35 minutes
Verify Interactive - Numerical Reasoning - Entry-Level,https://www.shl.com/solutions/products/assessments/numerical-reasoning/?level=entry-level,Entry-Level Measures numerical reasoning ability through interactive questions that assess data interpretation and numerical problem-solving skills.,C,Numerical Reasoning,18 minutes
Verify Interactive - Numerical Reasoning - Intermediate,https://www.shl.com/solutions/products/assessments/numerical-reasoning/?level=intermediate,Intermediate Measures numerical reasoning ability through interactive questions that assess data interpretation and numerical problem-solving skills.,C,Numerical Reasoning,18 minutes
Verify Interactive - Numerical Reasoning - Advanced,https://www.shl.com/solutions/products/assessments/numerical-reasoning/?level=advanced,Advanced Measures numerical reasoning ability through interactive questions that assess data interpretation and numerical problem-solving skills.,C,Numerical Reasoning,18 minutes
Verify Interactive - Numerical Reasoning - Expert,https://www.shl.com/solutions/products/assessments/numerical-reasoning/?level=expert,Expert Measures numerical reasoning ability through interactive questions that assess data interpretation and numerical problem-solving skills.,C,Numerical Reasoning,18 minutes
Verify Interactive - Verbal Reasoning - Entry-Level,https://www.shl.com/solutions/products/assessments/verbal-reasoning/?level=entry-level,Entry-Level Evaluates verbal reasoning ability and comprehension skills through passage-based questions.,C,Verbal Reasoning,18 minutes
Verify Interactive - Verbal Reasoning - Intermediate,https://www.shl.com/solutions/products/assessments/verbal-reasoning/?level=intermediate,Intermediate Evaluates verbal reasoning ability and comprehension skills through passage-based questions.,C,Verbal Reasoning,18 minutes
Verify Interactive - Verbal Reasoning - Advanced,https://www.shl.com/solutions/products/assessments/verbal-reasoning/?level=advanced,Advanced Evaluates verbal reasoning ability and comprehension skills through passage-based questions.,C,Verbal Reasoning,18 minutes
Verify Interactive - Verbal Reasoning - Expert,https://www.shl.com/solutions/products/assessments/verbal-reasoning/?level=expert,Expert Evaluates verbal reasoning ability and comprehension skills through passage-based questions.,C,Verbal Reasoning,18 minutes
Verify Interactive - Inductive Reasoning - Entry-Level,https://www.shl.com/solutions/products/assessments/inductive-reasoning/?level=entry-level,Entry-Level Assesses logical thinking and pattern recognition through abstract reasoning problems.,C,Logical Reasoning,18 minutes
Verify Interactive - Inductive Reasoning - Intermediate,https://www.shl.com/solutions/products/assessments/inductive-reasoning/?level=intermediate,Intermediate Assesses logical thinking and pattern recognition through abstract reasoning problems.,C,Logical Reasoning,18 minutes
Verify Interactive - Inductive Reasoning - Advanced,https://www.shl.com/solutions/products/assessments/inductive-reasoning/?level=advanced,Advanced Assesses logical thinking and pattern recognition through abstract reasoning problems.,C,Logical Reasoning,18 minutes
Verify Interactive - Inductive Reasoning - Expert,https://www.shl.com/solutions/products/assessments/inductive-reasoning/?level=expert,Expert Assesses logical thinking and pattern recognition through abstract reasoning problems.,C,Logical Reasoning,18 minutes
Verify Interactive - Deductive Reasoning - Entry-Level,https://www.shl.com/solutions/products/assessments/deductive-reasoning/?level=entry-level,Entry-Level Measures deductive logical reasoning and ability to draw valid conclusions from given information.,C,Logical Reasoning,18 minutes
Verify Interactive - Deductive Reasoning - Intermediate,https://www.shl.com/solutions/products/assessments/deductive-reasoning/?level=intermediate,Intermediate Measures deductive logical reasoning and ability to draw valid conclusions from given information.,C,Logical Reasoning,18 minutes
Verify Interactive - Deductive Reasoning - Advanced,https://www.shl.com/solutions/products/assessments/deductive-reasoning/?level=advanced,Advanced Measures deductive logical reasoning and ability to draw valid conclusions from given information.,C,Logical Reasoning,18 minutes
Verify Interactive - Deductive Reasoning - Expert,https://www.shl.com/solutions/products/assessments/deductive-reasoning/?level=expert,Expert Measures deductive logical reasoning and ability to draw valid conclusions from given information.,C,Logical Reasoning,18 minutes
OPQ - Occupational Personality Questionnaire - Entry-Level,https://www.shl.com/solutions/products/assessments/opq/?level=entry-level,Entry-Level Comprehensive personality assessment measuring behavioral traits and work style preferences across multiple dimensions.,P,Personality Assessment,25 minutes
OPQ - Occupational Personality Questionnaire - Intermediate,https://www.shl.com/solutions/products/assessments/opq/?level=intermediate,Intermediate Comprehensive personality assessment measuring behavioral traits and work style preferences across multiple dimensions.,P,Personality Assessment,25 minutes
OPQ - Occupational Personality Questionnaire - Advanced,https://www.shl.com/solutions/products/assessments/opq/?level=advanced,Advanced Comprehensive personality assessment measuring behavioral traits and work style preferences across multiple dimensions.,P,Personality Assessment,25 minutes
OPQ - Occupational Personality Questionnaire - Expert,https://www.shl.com/solutions/products/assessments/opq/?level=expert,Expert Comprehensive personality assessment measuring behavioral traits and work style preferences across multiple dimensions.,P,Personality Assessment,25 minutes
Motivation Questionnaire (MQ) - Entry-Level,https://www.shl.com/solutions/products/assessments/motivation-questionnaire/?level=entry-level,Entry-Level Assesses motivational factors and values that drive workplace behavior and performance.,P,Personality Assessment,20 minutes
Motivation Questionnaire (MQ) - Intermediate,https://www.shl.com/solutions/products/assessments/motivation-questionnaire/?level=intermediate,Intermediate Assesses motivational factors and values that drive workplace behavior and performance.,P,Personality Assessment,20 minutes
Motivation Questionnaire (MQ) - Advanced,https://www.shl.com/solutions/products/assessments/motivation-questionnaire/?level=advanced,Advanced Assesses motivational factors and values that drive workplace behavior and performance.,P,Personality Assessment,20 minutes
Motivation Questionnaire (MQ) - Expert,https://www.shl.com/solutions/products/assessments/motivation-questionnaire/?level=expert,Expert Assesses motivational factors and values that drive workplace behavior and performance.,P,Personality Assessment,20 minutes
Java Programming Skills Assessment - Entry-Level,https://www.shl.com/solutions/products/product-catalog/verify-java/?level=entry-level,"Entry-Level Technical assessment measuring Java programming knowledge, syntax, OOP concepts, and problem-solving abilities.",K,Technical Skills,30 minutes
Java Programming Skills Assessment - Intermediate,https://www.shl.com/solutions/products/product-catalog/verify-java/?level=intermediate,"Intermediate Technical assessment measuring Java programming knowledge, syntax, OOP concepts, and problem-solving abilities.",K,Technical Skills,30 minutes
Java Programming Skills Assessment - Advanced,https://www.shl.com/solutions/products/product-catalog/verify-java/?level=advanced,"Advanced Technical assessment measuring Java programming knowledge, syntax, OOP concepts, and problem-solving abilities.",K,Technical Skills,30 minutes
Java Programming Skills Assessment - Expert,https://www.shl.com/solutions/products/product-catalog/verify-java/?level=expert,"Expert Technical assessment measuring Java programming knowledge, syntax, OOP concepts, and problem-solving abilities.",K,Technical Skills,30 minutes
Python Programming Assessment - Entry-Level,https://www.shl.com/solutions/products/product-catalog/verify-python/?level=entry-level,"Entry-Level Evaluates Python programming skills including data structures, algorithms, and practical coding abilities.",K,Technical Skills,30 minutes
Python Programming Assessment - Intermediate,https://www.shl.com/solutions/products/product-catalog/verify-python/?level=intermediate,"Intermediate Evaluates Python programming skills including data structures, algorithms, and practical coding abilities.",K,Technical Skills,30 minutes
Python Programming Assessment - Advanced,https://www.shl.com/solutions/products/product-catalog/verify-python/?level=advanced,"Advanced Evaluates Python programming skills including data structures, algorithms, and practical coding abilities.",K,Technical Skills,30 minutes
Python Programming Assessment - Expert,https://www.shl.com/solutions/products/product-catalog/verify-python/?level=expert,"Expert Evaluates Python programming skills including data structures, algorithms, and practical coding abilities.",K,Technical Skills,30 minutes
SQL Database Skills Test - Entry-Level,https://www.shl.com/solutions/products/product-catalog/verify-sql/?level=entry-level,"Entry-Level Tests SQL knowledge including query writing, database design, joins, and data manipulation.",K,Technical Skills,25 minutes
SQL Database Skills Test - Intermediate,https://www.shl.com/solutions/products/product-catalog/verify-sql/?level=intermediate,"Intermediate Tests SQL knowledge including query writing, database design, joins, and data manipulation.",K,Technical Skills,25 minutes
SQL Database Skills Test - Advanced,https://www.shl.com/solutions/products/product-catalog/verify-sql/?level=advanced,"Advanced Tests SQL knowledge including query writing, database design, joins, and data manipulation.",K,Technical Skills,25 minutes
SQL Database Skills Test - Expert,https://www.shl.com/solutions/products/product-catalog/verify-sql/?level=expert,"Expert Tests SQL knowledge including query writing, database design, joins, and data manipulation.",K,Technical Skills,25 minutes
Microsoft Excel Skills Assessment - Entry-Level,https://www.shl.com/solutions/products/product-catalog/verify-excel/?level=entry-level,"Entry-Level Measures proficiency in Excel including formulas, functions, data analysis, and spreadsheet management.",K,Technical Skills,30 minutes
Microsoft Excel Skills Assessment - Intermediate,https://www.shl.com/solutions/products/product-catalog/verify-excel/?level=intermediate,"Intermediate Measures proficiency in Excel including formulas, functions, data analysis, and spreadsheet management.",K,Technical Skills,30 minutes
Microsoft Excel Skills Assessment - Advanced,https://www.shl.com/solutions/products/product-catalog/verify-excel/?level=advanced,"Advanced Measures proficiency in Excel including formulas, functions, data analysis, and spreadsheet management.",K,Technical Skills,30 minutes
Microsoft Excel Skills Assessment - Expert,https://www.shl.com/solutions/products/product-catalog/verify-excel/?level=expert,"Expert Measures proficiency in Excel including formulas, functions, data analysis, and spreadsheet management.",K,Technical Skills,30 minutes
Cloud Computing (AWS/Azure) - Basic,https://www.shl.com/solutions/products/product-catalog/cloud-computing-(aws/azure)-basic/,Basic assessment of Cloud architecture and services knowledge.,K,Technical Skills,25 minutes
Cloud Computing (AWS/Azure) - Intermediate,https://www.shl.com/solutions/products/product-catalog/cloud-computing-(aws/azure)-intermediate/,Intermediate assessment of Cloud architecture and services knowledge.,K,Technical Skills,25 minutes
Cloud Computing (AWS/Azure) - Advanced,https://www.shl.com/solutions/products/product-catalog/cloud-computing-(aws/azure)-advanced/,Advanced assessment of Cloud architecture and services knowledge.,K,Technical Skills,25 minutes
Machine Learning Fundamentals - Basic,https://www.shl.com/solutions/products/product-catalog/machine-learning-fundamentals-basic/,Basic assessment of ML algorithms and data science concepts.,K,Technical Skills,25 minutes
Machine Learning Fundamentals - Intermediate,https://www.shl.com/solutions/products/product-catalog/machine-learning-fundamentals-intermediate/,Intermediate assessment of ML algorithms and data science concepts.,K,Technical Skills,25 minutes
Machine Learning Fundamentals - Advanced,https://www.shl.com/solutions/products/product-catalog/machine-learning-fundamentals-advanced/,Advanced assessment of ML algorithms and data science concepts.,K,Technical Skills,25 minutes
Cybersecurity Awareness - Basic,https://www.shl.com/solutions/products/product-catalog/cybersecurity-awareness-basic/,Basic assessment of Security principles and best practices.,K,Technical Skills,25 minutes
Cybersecurity Awareness - Intermediate,https://www.shl.com/solutions/products/product-catalog/cybersecurity-awareness-intermediate/,Intermediate assessment of Security principles and best practices.,K,Technical Skills,25 minutes
Cybersecurity Awareness - Advanced,https://www.shl.com/solutions/products/product-catalog/cybersecurity-awareness-advanced/,Advanced assessment of Security principles and best practices.,K,Technical Skills,25 minutes
Project Management Skills - Basic,https://www.shl.com/solutions/products/product-catalog/project-management-skills-basic/,Basic assessment of Project planning and execution.,S,Leadership & Management,25 minutes
Project Management Skills - Intermediate,https://www.shl.com/solutions/products/product-catalog/project-management-skills-intermediate/,Intermediate assessment of Project planning and execution.,S,Leadership & Management,25 minutes
Project Management Skills - Advanced,https://www.shl.com/solutions/products/product-catalog/project-management-skills-advanced/,Advanced assessment of Project planning and execution.,S,Leadership & Management,25 minutes
Agile/Scrum Knowledge - Basic,https://www.shl.com/solutions/products/product-catalog/agile/scrum-knowledge-basic/,Basic assessment of Agile methodologies and practices.,K,Technical Skills,25 minutes
Agile/Scrum Knowledge - Intermediate,https://www.shl.com/solutions/products/product-catalog/agile/scrum-knowledge-intermediate/,Intermediate assessment of Agile methodologies and practices.,K,Technical Skills,25 minutes
Agile/Scrum Knowledge - Advanced,https://www.shl.com/solutions/products/product-catalog/agile/scrum-knowledge-advanced/,Advanced assessment of Agile methodologies and practices.,K,Technical Skills,25 minutes
Business Analysis Skills - Basic,https://www.shl.com/solutions/products/product-catalog/business-analysis-skills-basic/,Basic assessment of Requirements gathering and analysis.,C,Business Skills,25 minutes
Business Analysis Skills - Intermediate,https://www.shl.com/solutions/products/product-catalog/business-analysis-skills-intermediate/,Intermediate assessment of Requirements gathering and analysis.,C,Business Skills,25 minutes
Business Analysis Skills - Advanced,https://www.shl.com/solutions/products/product-catalog/business-analysis-skills-advanced/,Advanced assessment of Requirements gathering and analysis.,C,Business Skills,25 minutes
UI/UX Design Principles - Basic,https://www.shl.com/solutions/products/product-catalog/ui/ux-design-principles-basic/,Basic assessment of User interface and experience design.,K,Technical Skills,25 minutes
UI/UX Design Principles - Intermediate,https://www.shl.com/solutions/products/product-catalog/ui/ux-design-principles-intermediate/,Intermediate assessment of User interface and experience design.,K,Technical Skills,25 minutes
UI/UX Design Principles - Advanced,https://www.shl.com/solutions/products/product-catalog/ui/ux-design-principles-advanced/,Advanced assessment of User interface and experience design.,K,Technical Skills,25 minutes
Network Administration - Basic,https://www.shl.com/solutions/products/product-catalog/network-administration-basic/,Basic assessment of Network configuration and troubleshooting.,K,Technical Skills,25 minutes
Network Administration - Intermediate,https://www.shl.com/solutions/products/product-catalog/network-administration-intermediate/,Intermediate assessment of Network configuration and troubleshooting.,K,Technical Skills,25 minutes
Network Administration - Advanced,https://www.shl.com/solutions/products/product-catalog/network-administration-advanced/,Advanced assessment of Network configuration and troubleshooting.,K,Technical Skills,25 minutes
DevOps Practices - Basic,https://www.shl.com/solutions/products/product-catalog/devops-practices-basic/,Basic assessment of CI/CD and infrastructure automation.,K,Technical Skills,25 minutes
DevOps Practices - Intermediate,https://www.shl.com/solutions/products/product-catalog/devops-practices-intermediate/,Intermediate assessment of CI/CD and infrastructure automation.,K,Technical Skills,25 minutes
DevOps Practices - Advanced,https://www.shl.com/solutions/products/product-catalog/devops-practices-advanced/,Advanced assessment of CI/CD and infrastructure automation.,K,Technical Skills,25 minutes
Quality Assurance Testing - Basic,https://www.shl.com/solutions/products/product-catalog/quality-assurance-testing-basic/,Basic assessment of Testing methodologies and tools.,K,Technical Skills,25 minutes
Quality Assurance Testing - Intermediate,https://www.shl.com/solutions/products/product-catalog/quality-assurance-testing-intermediate/,Intermediate assessment of Testing methodologies and tools.,K,Technical Skills,25 minutes
Quality Assurance Testing - Advanced,https://www.shl.com/solutions/products/product-catalog/quality-assurance-testing-advanced/,Advanced assessment of Testing methodologies and tools.,K,Technical Skills,25 minutes
